participante_id;pg1_id;uds_pg1;fecha_resultado
1;4;58;2021-01-06
1;3;72;2021-01-08
1;4;72;2021-01-09
1;4;16;2021-01-10
1;3;76;2021-01-12
2;3;96;2021-01-06
2;4;59;2021-01-08
2;4;33;2021-01-09
2;3;36;2021-01-10
2;4;14;2021-01-12
3;4;30;2021-01-06
3;3;48;2021-01-08
3;4;18;2021-01-09
3;4;78;2021-01-10
3;3;92;2021-01-12
4;3;62;2021-01-06
4;3;88;2021-01-08
4;4;72;2021-01-09
4;4;11;2021-01-10
4;4;81;2021-01-12
5;3;97;2021-01-06
5;4;27;2021-01-08
5;4;82;2021-01-09
5;4;90;2021-01-10
5;4;77;2021-01-12
6;4;95;2021-01-06
6;3;85;2021-01-08
6;3;84;2021-01-09
6;4;25;2021-01-10
6;3;45;2021-01-12
7;4;15;2021-01-06
7;3;49;2021-01-08
7;3;91;2021-01-09
7;3;18;2021-01-10
7;4;9;2021-01-12
8;4;3;2021-01-06
8;4;47;2021-01-08
8;3;6;2021-01-09
8;4;26;2021-01-10
8;4;15;2021-01-12
9;3;4;2021-01-06
9;4;100;2021-01-08
9;4;45;2021-01-09
9;3;55;2021-01-10
9;3;52;2021-01-12
10;4;59;2021-01-06
10;3;75;2021-01-08
10;4;20;2021-01-09
10;4;88;2021-01-10
10;4;78;2021-01-12
11;4;80;2021-01-06
11;3;56;2021-01-08
11;3;59;2021-01-09
11;3;13;2021-01-10
11;3;87;2021-01-12
12;3;41;2021-01-06
12;3;25;2021-01-08
12;4;17;2021-01-09
12;4;68;2021-01-10
12;3;63;2021-01-12
13;3;79;2021-01-06
13;3;68;2021-01-08
13;4;31;2021-01-09
13;3;88;2021-01-10
13;3;58;2021-01-12
14;3;23;2021-01-06
14;4;60;2021-01-08
14;3;43;2021-01-09
14;4;4;2021-01-10
14;3;24;2021-01-12
15;4;75;2021-01-06
15;4;10;2021-01-08
15;3;57;2021-01-09
15;3;49;2021-01-10
15;4;65;2021-01-12
16;4;2;2021-01-06
16;4;84;2021-01-08
16;4;14;2021-01-09
16;4;10;2021-01-10
16;3;33;2021-01-12
17;4;59;2021-01-06
17;3;78;2021-01-08
17;4;61;2021-01-09
17;4;43;2021-01-10
17;3;58;2021-01-12
18;4;19;2021-01-06
18;4;62;2021-01-08
18;3;99;2021-01-09
18;4;47;2021-01-10
18;4;14;2021-01-12
19;4;1;2021-01-06
19;4;17;2021-01-08
19;3;23;2021-01-09
19;3;73;2021-01-10
19;4;13;2021-01-12
20;3;77;2021-01-06
20;3;19;2021-01-08
20;4;47;2021-01-09
20;4;93;2021-01-10
20;4;10;2021-01-12
21;3;5;2021-01-06
21;4;19;2021-01-08
21;4;33;2021-01-09
21;3;100;2021-01-10
21;3;44;2021-01-12
22;3;76;2021-01-06
22;4;100;2021-01-08
22;4;72;2021-01-09
22;3;6;2021-01-10
22;3;9;2021-01-12
23;3;65;2021-01-06
23;4;15;2021-01-08
23;4;97;2021-01-09
23;3;1;2021-01-10
23;4;88;2021-01-12
24;3;15;2021-01-06
24;3;62;2021-01-08
24;3;44;2021-01-09
24;3;1;2021-01-10
24;4;11;2021-01-12
25;3;60;2021-01-06
25;3;63;2021-01-08
25;4;99;2021-01-09
25;3;45;2021-01-10
25;3;1;2021-01-12
26;3;25;2021-01-06
26;3;89;2021-01-08
26;3;66;2021-01-09
26;3;62;2021-01-10
26;3;85;2021-01-12
27;4;8;2021-01-06
27;4;66;2021-01-08
27;4;68;2021-01-09
27;3;4;2021-01-10
27;3;38;2021-01-12
28;4;80;2021-01-06
28;4;36;2021-01-08
28;3;53;2021-01-09
28;3;98;2021-01-10
28;3;68;2021-01-12
29;3;94;2021-01-06
29;3;100;2021-01-08
29;4;72;2021-01-09
29;4;56;2021-01-10
29;4;63;2021-01-12
30;3;94;2021-01-06
30;3;93;2021-01-08
30;4;27;2021-01-09
30;3;61;2021-01-10
30;4;30;2021-01-12
31;4;33;2021-01-06
31;4;40;2021-01-08
31;4;79;2021-01-09
31;4;74;2021-01-10
31;3;80;2021-01-12
32;4;83;2021-01-06
32;3;73;2021-01-08
32;4;28;2021-01-09
32;3;71;2021-01-10
32;3;44;2021-01-12
33;3;1;2021-01-06
33;4;88;2021-01-08
33;4;90;2021-01-09
33;4;22;2021-01-10
33;4;52;2021-01-12
34;3;17;2021-01-06
34;3;99;2021-01-08
34;4;25;2021-01-09
34;3;23;2021-01-10
34;4;64;2021-01-12
35;4;4;2021-01-06
35;3;79;2021-01-08
35;4;49;2021-01-09
35;4;37;2021-01-10
35;3;27;2021-01-12
36;3;82;2021-01-06
36;4;50;2021-01-08
36;3;22;2021-01-09
36;4;61;2021-01-10
36;4;64;2021-01-12
37;3;43;2021-01-06
37;3;24;2021-01-08
37;4;54;2021-01-09
37;4;56;2021-01-10
37;4;28;2021-01-12
38;3;98;2021-01-06
38;4;61;2021-01-08
38;4;50;2021-01-09
38;4;67;2021-01-10
38;3;65;2021-01-12
39;3;99;2021-01-06
39;4;33;2021-01-08
39;3;5;2021-01-09
39;3;25;2021-01-10
39;3;33;2021-01-12
40;4;4;2021-01-06
40;4;74;2021-01-08
40;3;68;2021-01-09
40;3;96;2021-01-10
40;3;17;2021-01-12
41;3;75;2021-01-06
41;4;76;2021-01-08
41;3;70;2021-01-09
41;4;34;2021-01-10
41;3;54;2021-01-12
42;4;25;2021-01-06
42;3;30;2021-01-08
42;4;75;2021-01-09
42;4;74;2021-01-10
42;4;40;2021-01-12
43;4;63;2021-01-06
43;3;67;2021-01-08
43;3;54;2021-01-09
43;4;75;2021-01-10
43;3;60;2021-01-12
44;4;14;2021-01-06
44;3;99;2021-01-08
44;4;72;2021-01-09
44;3;9;2021-01-10
44;3;73;2021-01-12
45;4;55;2021-01-06
45;3;89;2021-01-08
45;4;40;2021-01-09
45;3;85;2021-01-10
45;4;67;2021-01-12
46;4;58;2021-01-06
46;4;47;2021-01-08
46;3;82;2021-01-09
46;4;87;2021-01-10
46;3;97;2021-01-12
47;4;59;2021-01-06
47;4;61;2021-01-08
47;3;96;2021-01-09
47;4;88;2021-01-10
47;4;33;2021-01-12
48;3;54;2021-01-06
48;4;33;2021-01-08
48;4;13;2021-01-09
48;4;31;2021-01-10
48;3;35;2021-01-12
49;4;95;2021-01-06
49;4;88;2021-01-08
49;3;76;2021-01-09
49;3;69;2021-01-10
49;3;48;2021-01-12
50;4;13;2021-01-06
50;4;78;2021-01-08
50;4;49;2021-01-09
50;3;48;2021-01-10
50;3;79;2021-01-12
51;3;65;2021-01-06
51;3;27;2021-01-08
51;3;44;2021-01-09
51;4;63;2021-01-10
51;4;95;2021-01-12
52;4;38;2021-01-06
52;3;27;2021-01-08
52;4;99;2021-01-09
52;3;18;2021-01-10
52;4;64;2021-01-12
53;4;68;2021-01-06
53;3;40;2021-01-08
53;3;29;2021-01-09
53;3;8;2021-01-10
53;4;77;2021-01-12
54;4;9;2021-01-06
54;4;11;2021-01-08
54;3;69;2021-01-09
54;4;95;2021-01-10
54;3;81;2021-01-12
55;4;63;2021-01-06
55;3;84;2021-01-08
55;3;36;2021-01-09
55;4;87;2021-01-10
55;3;30;2021-01-12
56;3;66;2021-01-06
56;4;85;2021-01-08
56;4;55;2021-01-09
56;3;57;2021-01-10
56;3;42;2021-01-12
57;3;86;2021-01-06
57;4;4;2021-01-08
57;4;67;2021-01-09
57;4;31;2021-01-10
57;3;97;2021-01-12
58;4;90;2021-01-06
58;3;28;2021-01-08
58;3;99;2021-01-09
58;4;20;2021-01-10
58;4;66;2021-01-12
59;3;18;2021-01-06
59;4;30;2021-01-08
59;3;4;2021-01-09
59;4;58;2021-01-10
59;4;33;2021-01-12
60;4;10;2021-01-06
60;3;54;2021-01-08
60;4;97;2021-01-09
60;3;27;2021-01-10
60;4;42;2021-01-12
61;3;6;2021-01-06
61;4;95;2021-01-08
61;3;54;2021-01-09
61;4;48;2021-01-10
61;3;67;2021-01-12
62;4;33;2021-01-06
62;4;10;2021-01-08
62;3;53;2021-01-09
62;3;65;2021-01-10
62;3;75;2021-01-12
63;3;2;2021-01-06
63;4;1;2021-01-08
63;3;85;2021-01-09
63;4;71;2021-01-10
63;4;4;2021-01-12
64;4;3;2021-01-06
64;3;76;2021-01-08
64;3;63;2021-01-09
64;4;54;2021-01-10
64;3;85;2021-01-12
65;3;96;2021-01-06
65;3;84;2021-01-08
65;3;98;2021-01-09
65;4;12;2021-01-10
65;3;57;2021-01-12
66;4;18;2021-01-06
66;3;87;2021-01-08
66;4;1;2021-01-09
66;4;80;2021-01-10
66;3;21;2021-01-12
67;3;60;2021-01-06
67;3;77;2021-01-08
67;3;46;2021-01-09
67;4;90;2021-01-10
67;3;93;2021-01-12
68;3;6;2021-01-06
68;4;59;2021-01-08
68;4;77;2021-01-09
68;3;16;2021-01-10
68;3;38;2021-01-12
69;4;48;2021-01-06
69;4;56;2021-01-08
69;4;18;2021-01-09
69;4;10;2021-01-10
69;4;1;2021-01-12
70;4;20;2021-01-06
70;4;86;2021-01-08
70;3;67;2021-01-09
70;4;49;2021-01-10
70;3;38;2021-01-12
71;3;77;2021-01-06
71;3;87;2021-01-08
71;3;21;2021-01-09
71;3;73;2021-01-10
71;4;32;2021-01-12
72;3;1;2021-01-06
72;3;95;2021-01-08
72;4;61;2021-01-09
72;4;62;2021-01-10
72;4;73;2021-01-12
73;4;57;2021-01-06
73;4;64;2021-01-08
73;3;76;2021-01-09
73;4;36;2021-01-10
73;4;2;2021-01-12
74;3;77;2021-01-06
74;3;52;2021-01-08
74;4;91;2021-01-09
74;4;96;2021-01-10
74;3;7;2021-01-12
75;4;55;2021-01-06
75;4;99;2021-01-08
75;4;78;2021-01-09
75;3;26;2021-01-10
75;4;81;2021-01-12
76;4;20;2021-01-06
76;3;66;2021-01-08
76;4;16;2021-01-09
76;4;65;2021-01-10
76;4;80;2021-01-12
77;3;60;2021-01-06
77;3;18;2021-01-08
77;3;84;2021-01-09
77;3;93;2021-01-10
77;3;59;2021-01-12
78;3;12;2021-01-06
78;4;84;2021-01-08
78;3;34;2021-01-09
78;4;9;2021-01-10
78;4;17;2021-01-12
79;3;57;2021-01-06
79;4;29;2021-01-08
79;3;29;2021-01-09
79;3;13;2021-01-10
79;4;34;2021-01-12
80;4;60;2021-01-06
80;4;80;2021-01-08
80;3;92;2021-01-09
80;3;98;2021-01-10
80;4;69;2021-01-12
81;3;89;2021-01-06
81;4;27;2021-01-08
81;3;16;2021-01-09
81;4;48;2021-01-10
81;4;5;2021-01-12
82;4;32;2021-01-06
82;3;86;2021-01-08
82;3;91;2021-01-09
82;3;18;2021-01-10
82;3;60;2021-01-12
83;4;47;2021-01-06
83;4;90;2021-01-08
83;3;86;2021-01-09
83;4;72;2021-01-10
83;4;100;2021-01-12
84;3;18;2021-01-06
84;4;33;2021-01-08
84;4;76;2021-01-09
84;4;17;2021-01-10
84;3;18;2021-01-12
85;4;47;2021-01-06
85;4;78;2021-01-08
85;4;39;2021-01-09
85;4;51;2021-01-10
85;3;45;2021-01-12
86;3;29;2021-01-06
86;4;77;2021-01-08
86;4;33;2021-01-09
86;4;45;2021-01-10
86;3;64;2021-01-12
87;3;38;2021-01-06
87;4;60;2021-01-08
87;4;81;2021-01-09
87;4;6;2021-01-10
87;3;72;2021-01-12
88;4;93;2021-01-06
88;4;97;2021-01-08
88;4;50;2021-01-09
88;3;28;2021-01-10
88;4;69;2021-01-12
89;3;36;2021-01-06
89;3;35;2021-01-08
89;3;83;2021-01-09
89;4;1;2021-01-10
89;3;46;2021-01-12
90;4;1;2021-01-06
90;4;33;2021-01-08
90;3;29;2021-01-09
90;4;96;2021-01-10
90;4;69;2021-01-12
91;3;63;2021-01-06
91;4;30;2021-01-08
91;4;53;2021-01-09
91;4;54;2021-01-10
91;3;44;2021-01-12
92;4;81;2021-01-06
92;4;63;2021-01-08
92;3;40;2021-01-09
92;3;4;2021-01-10
92;4;52;2021-01-12
93;3;11;2021-01-06
93;4;40;2021-01-08
93;4;97;2021-01-09
93;3;88;2021-01-10
93;3;29;2021-01-12
94;4;92;2021-01-06
94;3;7;2021-01-08
94;4;75;2021-01-09
94;3;87;2021-01-10
94;4;39;2021-01-12
95;3;17;2021-01-06
95;4;27;2021-01-08
95;3;27;2021-01-09
95;4;31;2021-01-10
95;4;38;2021-01-12
96;4;33;2021-01-06
96;4;80;2021-01-08
96;3;77;2021-01-09
96;3;58;2021-01-10
96;4;100;2021-01-12
97;3;33;2021-01-06
97;3;27;2021-01-08
97;3;69;2021-01-09
97;3;80;2021-01-10
97;4;70;2021-01-12
98;4;21;2021-01-06
98;3;29;2021-01-08
98;4;59;2021-01-09
98;3;37;2021-01-10
98;4;69;2021-01-12
99;4;41;2021-01-06
99;3;95;2021-01-08
99;3;92;2021-01-09
99;3;36;2021-01-10
99;3;83;2021-01-12
100;4;14;2021-01-06
100;4;73;2021-01-08
100;4;43;2021-01-09
100;4;64;2021-01-10
100;4;42;2021-01-12
101;4;99;2021-01-06
101;4;50;2021-01-08
101;4;92;2021-01-09
101;4;58;2021-01-10
101;4;100;2021-01-12
102;4;12;2021-01-06
102;4;1;2021-01-08
102;4;28;2021-01-09
102;4;94;2021-01-10
102;4;10;2021-01-12
103;4;82;2021-01-06
103;3;57;2021-01-08
103;3;35;2021-01-09
103;3;71;2021-01-10
103;3;32;2021-01-12
104;4;7;2021-01-06
104;4;49;2021-01-08
104;3;94;2021-01-09
104;3;15;2021-01-10
104;4;46;2021-01-12
105;3;88;2021-01-06
105;4;75;2021-01-08
105;4;84;2021-01-09
105;3;15;2021-01-10
105;3;35;2021-01-12
106;4;73;2021-01-06
106;3;99;2021-01-08
106;3;22;2021-01-09
106;4;19;2021-01-10
106;3;11;2021-01-12
107;3;3;2021-01-06
107;3;59;2021-01-08
107;4;94;2021-01-09
107;3;38;2021-01-10
107;4;15;2021-01-12
108;4;80;2021-01-06
108;4;53;2021-01-08
108;3;43;2021-01-09
108;4;94;2021-01-10
108;4;39;2021-01-12
109;4;59;2021-01-06
109;4;34;2021-01-08
109;4;24;2021-01-09
109;4;96;2021-01-10
109;4;45;2021-01-12
110;3;40;2021-01-06
110;3;64;2021-01-08
110;4;100;2021-01-09
110;4;69;2021-01-10
110;3;68;2021-01-12
111;4;48;2021-01-06
111;3;39;2021-01-08
111;4;66;2021-01-09
111;4;87;2021-01-10
111;3;29;2021-01-12
112;3;90;2021-01-06
112;3;23;2021-01-08
112;4;79;2021-01-09
112;3;79;2021-01-10
112;4;54;2021-01-12
113;3;36;2021-01-06
113;4;21;2021-01-08
113;3;40;2021-01-09
113;3;91;2021-01-10
113;4;9;2021-01-12
114;4;84;2021-01-06
114;4;19;2021-01-08
114;3;55;2021-01-09
114;4;59;2021-01-10
114;3;14;2021-01-12
115;3;20;2021-01-06
115;3;6;2021-01-08
115;4;56;2021-01-09
115;3;33;2021-01-10
115;3;98;2021-01-12
116;4;18;2021-01-06
116;3;50;2021-01-08
116;4;38;2021-01-09
116;3;42;2021-01-10
116;3;87;2021-01-12
117;4;34;2021-01-06
117;4;82;2021-01-08
117;3;78;2021-01-09
117;3;26;2021-01-10
117;3;45;2021-01-12
118;3;99;2021-01-06
118;3;66;2021-01-08
118;4;56;2021-01-09
118;4;90;2021-01-10
118;3;68;2021-01-12
119;3;37;2021-01-06
119;3;83;2021-01-08
119;4;31;2021-01-09
119;4;79;2021-01-10
119;4;84;2021-01-12
120;4;45;2021-01-06
120;3;65;2021-01-08
120;4;99;2021-01-09
120;4;57;2021-01-10
120;4;11;2021-01-12
121;3;54;2021-01-06
121;4;30;2021-01-08
121;4;2;2021-01-09
121;4;15;2021-01-10
121;3;74;2021-01-12
122;3;17;2021-01-06
122;3;26;2021-01-08
122;4;85;2021-01-09
122;3;51;2021-01-10
122;4;51;2021-01-12
123;3;79;2021-01-06
123;3;24;2021-01-08
123;3;12;2021-01-09
123;4;32;2021-01-10
123;3;12;2021-01-12
124;3;38;2021-01-06
124;4;7;2021-01-08
124;4;1;2021-01-09
124;4;51;2021-01-10
124;3;84;2021-01-12
125;4;41;2021-01-06
125;3;74;2021-01-08
125;4;65;2021-01-09
125;3;74;2021-01-10
125;3;92;2021-01-12
126;3;21;2021-01-06
126;3;98;2021-01-08
126;3;40;2021-01-09
126;3;71;2021-01-10
126;3;52;2021-01-12
127;4;33;2021-01-06
127;3;72;2021-01-08
127;3;45;2021-01-09
127;4;38;2021-01-10
127;4;76;2021-01-12
128;4;89;2021-01-06
128;4;77;2021-01-08
128;4;22;2021-01-09
128;3;73;2021-01-10
128;3;78;2021-01-12
129;4;73;2021-01-06
129;3;58;2021-01-08
129;4;28;2021-01-09
129;3;72;2021-01-10
129;4;100;2021-01-12
130;4;33;2021-01-06
130;4;6;2021-01-08
130;4;67;2021-01-09
130;3;59;2021-01-10
130;4;1;2021-01-12
131;3;10;2021-01-06
131;3;5;2021-01-08
131;4;5;2021-01-09
131;3;15;2021-01-10
131;4;62;2021-01-12
132;3;36;2021-01-06
132;4;58;2021-01-08
132;4;80;2021-01-09
132;3;74;2021-01-10
132;3;63;2021-01-12
133;3;29;2021-01-06
133;4;30;2021-01-08
133;3;37;2021-01-09
133;3;28;2021-01-10
133;3;57;2021-01-12
134;4;15;2021-01-06
134;3;17;2021-01-08
134;3;93;2021-01-09
134;4;73;2021-01-10
134;3;58;2021-01-12
135;4;25;2021-01-06
135;3;75;2021-01-08
135;3;52;2021-01-09
135;3;55;2021-01-10
135;4;37;2021-01-12
136;3;23;2021-01-06
136;4;9;2021-01-08
136;3;9;2021-01-09
136;3;23;2021-01-10
136;4;29;2021-01-12
137;3;8;2021-01-06
137;4;80;2021-01-08
137;3;72;2021-01-09
137;4;96;2021-01-10
137;4;36;2021-01-12
138;3;23;2021-01-06
138;4;87;2021-01-08
138;4;8;2021-01-09
138;3;26;2021-01-10
138;4;45;2021-01-12
139;4;5;2021-01-06
139;3;78;2021-01-08
139;4;79;2021-01-09
139;3;41;2021-01-10
139;3;76;2021-01-12
140;3;59;2021-01-06
140;3;100;2021-01-08
140;4;85;2021-01-09
140;4;72;2021-01-10
140;4;30;2021-01-12
141;4;45;2021-01-06
141;3;16;2021-01-08
141;4;57;2021-01-09
141;4;53;2021-01-10
141;3;14;2021-01-12
142;3;94;2021-01-06
142;3;33;2021-01-08
142;4;27;2021-01-09
142;3;25;2021-01-10
142;4;18;2021-01-12
143;3;77;2021-01-06
143;3;91;2021-01-08
143;3;26;2021-01-09
143;3;40;2021-01-10
143;4;6;2021-01-12
144;4;78;2021-01-06
144;4;22;2021-01-08
144;4;60;2021-01-09
144;3;21;2021-01-10
144;4;12;2021-01-12
145;4;60;2021-01-06
145;3;60;2021-01-08
145;3;95;2021-01-09
145;3;22;2021-01-10
145;3;73;2021-01-12
146;3;69;2021-01-06
146;4;43;2021-01-08
146;3;18;2021-01-09
146;3;54;2021-01-10
146;3;13;2021-01-12
