participante_id;pg1_id;uds_pg1;fecha_resultado
1;6;91;2021-01-06
1;6;53;2021-01-08
1;6;5;2021-01-09
1;5;74;2021-01-10
1;6;46;2021-01-12
2;6;44;2021-01-06
2;5;74;2021-01-08
2;6;83;2021-01-09
2;6;11;2021-01-10
2;5;15;2021-01-12
3;6;78;2021-01-06
3;5;60;2021-01-08
3;5;65;2021-01-09
3;6;48;2021-01-10
3;6;88;2021-01-12
4;5;93;2021-01-06
4;6;56;2021-01-08
4;5;83;2021-01-09
4;5;10;2021-01-10
4;5;77;2021-01-12
5;6;12;2021-01-06
5;6;72;2021-01-08
5;5;71;2021-01-09
5;5;28;2021-01-10
5;5;25;2021-01-12
6;5;1;2021-01-06
6;6;89;2021-01-08
6;6;41;2021-01-09
6;6;94;2021-01-10
6;6;38;2021-01-12
7;5;94;2021-01-06
7;5;81;2021-01-08
7;5;38;2021-01-09
7;5;65;2021-01-10
7;6;85;2021-01-12
8;5;43;2021-01-06
8;6;63;2021-01-08
8;5;63;2021-01-09
8;6;10;2021-01-10
8;5;6;2021-01-12
9;6;23;2021-01-06
9;5;53;2021-01-08
9;6;20;2021-01-09
9;6;63;2021-01-10
9;5;73;2021-01-12
10;6;5;2021-01-06
10;6;50;2021-01-08
10;6;25;2021-01-09
10;5;99;2021-01-10
10;6;95;2021-01-12
11;6;82;2021-01-06
11;6;62;2021-01-08
11;5;33;2021-01-09
11;5;41;2021-01-10
11;6;85;2021-01-12
12;5;50;2021-01-06
12;6;80;2021-01-08
12;5;41;2021-01-09
12;5;15;2021-01-10
12;6;89;2021-01-12
13;5;34;2021-01-06
13;5;36;2021-01-08
13;6;36;2021-01-09
13;5;3;2021-01-10
13;5;49;2021-01-12
14;5;27;2021-01-06
14;5;4;2021-01-08
14;6;87;2021-01-09
14;6;28;2021-01-10
14;6;93;2021-01-12
15;6;26;2021-01-06
15;5;78;2021-01-08
15;6;70;2021-01-09
15;6;30;2021-01-10
15;6;25;2021-01-12
16;5;20;2021-01-06
16;6;85;2021-01-08
16;6;50;2021-01-09
16;5;86;2021-01-10
