participante_id;pg1_id;uds_pg1;fecha_resultado
1;4;27;2021-01-06
1;3;3;2021-01-08
1;3;11;2021-01-09
1;4;58;2021-01-10
1;4;16;2021-01-12
2;3;56;2021-01-06
2;3;56;2021-01-08
2;3;84;2021-01-09
2;4;90;2021-01-10
2;4;27;2021-01-12
3;4;25;2021-01-06
3;4;57;2021-01-08
3;4;54;2021-01-09
3;4;82;2021-01-10
3;4;64;2021-01-12
4;3;96;2021-01-06
4;4;35;2021-01-08
4;3;9;2021-01-09
4;3;5;2021-01-10
4;4;46;2021-01-12
5;3;24;2021-01-06
5;3;23;2021-01-08
5;4;85;2021-01-09
5;3;91;2021-01-10
5;4;35;2021-01-12
6;3;32;2021-01-06
6;3;31;2021-01-08
6;4;57;2021-01-09
6;4;89;2021-01-10
6;4;80;2021-01-12
7;4;94;2021-01-06
7;4;15;2021-01-08
7;3;55;2021-01-09
7;4;33;2021-01-10
7;3;9;2021-01-12
8;4;1;2021-01-06
8;4;66;2021-01-08
8;3;52;2021-01-09
8;3;90;2021-01-10
8;3;74;2021-01-12
9;3;39;2021-01-06
9;3;7;2021-01-08
9;4;100;2021-01-09
9;4;20;2021-01-10
9;4;59;2021-01-12
10;4;70;2021-01-06
10;4;83;2021-01-08
10;3;19;2021-01-09
10;3;21;2021-01-10
10;4;56;2021-01-12
11;4;60;2021-01-06
11;3;67;2021-01-08
11;3;91;2021-01-09
11;3;70;2021-01-10
11;4;98;2021-01-12
12;4;3;2021-01-06
12;4;100;2021-01-08
12;4;35;2021-01-09
12;3;80;2021-01-10
12;3;62;2021-01-12
13;3;92;2021-01-06
13;4;47;2021-01-08
13;3;81;2021-01-09
13;3;38;2021-01-10
13;3;64;2021-01-12
14;4;1;2021-01-06
14;3;79;2021-01-08
14;4;66;2021-01-09
14;4;10;2021-01-10
14;3;15;2021-01-12
15;4;13;2021-01-06
15;3;100;2021-01-08
15;4;41;2021-01-09
15;4;46;2021-01-10
15;4;49;2021-01-12
16;3;85;2021-01-06
16;3;19;2021-01-08
16;3;33;2021-01-09
