participante_id;pg1_id;uds_pg1;fecha_resultado
1;1;19;2021-01-06
1;2;35;2021-01-08
1;2;7;2021-01-09
1;1;72;2021-01-10
1;1;65;2021-01-12
2;1;54;2021-01-06
2;1;58;2021-01-08
2;1;64;2021-01-09
2;2;44;2021-01-10
2;1;13;2021-01-12
3;1;52;2021-01-06
3;2;20;2021-01-08
3;1;8;2021-01-09
3;2;63;2021-01-10
3;1;17;2021-01-12
4;1;73;2021-01-06
4;1;59;2021-01-08
4;2;11;2021-01-09
4;2;69;2021-01-10
4;1;3;2021-01-12
5;2;6;2021-01-06
5;2;50;2021-01-08
5;1;84;2021-01-09
5;2;81;2021-01-10
5;1;100;2021-01-12
6;1;64;2021-01-06
6;2;18;2021-01-08
6;1;22;2021-01-09
6;1;98;2021-01-10
6;1;68;2021-01-12
7;2;58;2021-01-06
7;1;61;2021-01-08
7;2;53;2021-01-09
7;1;47;2021-01-10
7;1;2;2021-01-12
8;1;23;2021-01-06
8;1;56;2021-01-08
8;2;49;2021-01-09
8;2;72;2021-01-10
8;2;93;2021-01-12
9;1;58;2021-01-06
9;2;83;2021-01-08
9;2;63;2021-01-09
9;2;66;2021-01-10
9;2;18;2021-01-12
10;2;89;2021-01-06
10;2;94;2021-01-08
10;1;17;2021-01-09
10;1;76;2021-01-10
10;1;41;2021-01-12
11;1;82;2021-01-06
11;2;33;2021-01-08
11;1;2;2021-01-09
11;1;12;2021-01-10
11;2;67;2021-01-12
12;1;85;2021-01-06
12;2;33;2021-01-08
12;2;98;2021-01-09
12;2;25;2021-01-10
12;1;14;2021-01-12
13;1;43;2021-01-06
13;2;94;2021-01-08
13;1;22;2021-01-09
13;1;60;2021-01-10
13;1;64;2021-01-12
14;2;87;2021-01-06
14;2;19;2021-01-08
14;2;79;2021-01-09
14;2;66;2021-01-10
14;2;58;2021-01-12
15;1;38;2021-01-06
15;2;66;2021-01-08
15;2;99;2021-01-09
15;1;85;2021-01-10
15;2;2;2021-01-12
16;1;83;2021-01-06
16;2;49;2021-01-08
16;1;50;2021-01-09
16;2;16;2021-01-10
16;1;58;2021-01-12
17;2;89;2021-01-06
17;1;37;2021-01-08
17;2;10;2021-01-09
17;2;88;2021-01-10
17;2;57;2021-01-12
18;2;57;2021-01-06
18;1;8;2021-01-08
18;2;71;2021-01-09
18;2;12;2021-01-10
18;2;72;2021-01-12
19;1;95;2021-01-06
19;1;7;2021-01-08
19;2;26;2021-01-09
19;2;32;2021-01-10
19;1;59;2021-01-12
20;1;86;2021-01-06
20;2;20;2021-01-08
20;2;77;2021-01-09
20;2;86;2021-01-10
20;1;95;2021-01-12
21;2;60;2021-01-06
21;1;28;2021-01-08
21;1;90;2021-01-09
21;2;89;2021-01-10
21;1;75;2021-01-12
22;2;38;2021-01-06
22;1;28;2021-01-08
22;1;45;2021-01-09
22;1;22;2021-01-10
22;2;82;2021-01-12
23;1;24;2021-01-06
23;1;78;2021-01-08
23;1;55;2021-01-09
23;1;1;2021-01-10
23;1;98;2021-01-12
24;1;15;2021-01-06
24;1;34;2021-01-08
24;1;10;2021-01-09
24;1;40;2021-01-10
24;1;41;2021-01-12
25;2;64;2021-01-06
25;2;13;2021-01-08
25;2;49;2021-01-09
25;1;85;2021-01-10
25;2;93;2021-01-12
26;1;22;2021-01-06
26;1;94;2021-01-08
26;2;40;2021-01-09
26;2;73;2021-01-10
26;2;73;2021-01-12
27;2;24;2021-01-06
27;2;56;2021-01-08
27;2;66;2021-01-09
27;2;89;2021-01-10
27;2;61;2021-01-12
28;2;89;2021-01-06
28;1;84;2021-01-08
28;2;86;2021-01-09
28;2;82;2021-01-10
28;1;95;2021-01-12
29;2;38;2021-01-06
29;1;51;2021-01-08
29;1;55;2021-01-09
