participante_id;pg1_id;uds_pg1;fecha_resultado
1;6;83;2021-01-06
1;5;85;2021-01-08
1;5;86;2021-01-09
1;6;93;2021-01-10
1;6;30;2021-01-12
2;6;44;2021-01-06
2;5;48;2021-01-08
2;5;27;2021-01-09
2;6;58;2021-01-10
2;6;75;2021-01-12
3;6;56;2021-01-06
3;5;71;2021-01-08
3;5;58;2021-01-09
3;5;61;2021-01-10
3;6;100;2021-01-12
4;5;86;2021-01-06
4;5;2;2021-01-08
4;5;100;2021-01-09
4;6;53;2021-01-10
4;6;69;2021-01-12
5;5;54;2021-01-06
5;5;49;2021-01-08
5;5;96;2021-01-09
5;6;52;2021-01-10
5;6;2;2021-01-12
6;6;38;2021-01-06
6;6;39;2021-01-08
6;6;46;2021-01-09
6;5;37;2021-01-10
6;6;8;2021-01-12
7;5;70;2021-01-06
7;5;89;2021-01-08
7;6;64;2021-01-09
7;6;66;2021-01-10
7;6;57;2021-01-12
8;5;40;2021-01-06
8;5;40;2021-01-08
8;6;100;2021-01-09
8;5;20;2021-01-10
8;5;37;2021-01-12
9;5;11;2021-01-06
9;5;48;2021-01-08
9;6;8;2021-01-09
9;6;90;2021-01-10
9;6;63;2021-01-12
10;6;79;2021-01-06
10;5;62;2021-01-08
10;6;94;2021-01-09
10;5;34;2021-01-10
10;6;34;2021-01-12
11;6;40;2021-01-06
11;5;19;2021-01-08
11;6;9;2021-01-09
11;5;19;2021-01-10
11;6;79;2021-01-12
12;5;96;2021-01-06
12;6;33;2021-01-08
12;6;95;2021-01-09
12;6;34;2021-01-10
12;5;15;2021-01-12
13;6;1;2021-01-06
13;5;44;2021-01-08
13;5;21;2021-01-09
13;5;30;2021-01-10
13;5;25;2021-01-12
14;6;37;2021-01-06
14;5;60;2021-01-08
14;6;72;2021-01-09
14;5;33;2021-01-10
14;5;89;2021-01-12
15;6;91;2021-01-06
15;5;96;2021-01-08
15;6;96;2021-01-09
15;5;93;2021-01-10
15;5;46;2021-01-12
16;6;3;2021-01-06
16;6;30;2021-01-08
16;5;83;2021-01-09
16;6;42;2021-01-10
16;5;69;2021-01-12
17;5;74;2021-01-06
17;6;71;2021-01-08
17;5;59;2021-01-09
17;5;72;2021-01-10
17;5;100;2021-01-12
18;5;31;2021-01-06
18;5;88;2021-01-08
18;6;67;2021-01-09
18;6;68;2021-01-10
18;5;25;2021-01-12
19;5;68;2021-01-06
19;5;41;2021-01-08
19;5;69;2021-01-09
19;6;17;2021-01-10
19;5;30;2021-01-12
20;6;77;2021-01-06
20;5;30;2021-01-08
20;5;69;2021-01-09
20;6;68;2021-01-10
20;6;35;2021-01-12
21;5;9;2021-01-06
21;6;68;2021-01-08
21;6;99;2021-01-09
21;6;85;2021-01-10
21;6;93;2021-01-12
22;6;9;2021-01-06
22;5;94;2021-01-08
22;5;31;2021-01-09
22;5;37;2021-01-10
22;6;56;2021-01-12
23;5;2;2021-01-06
23;6;77;2021-01-08
23;5;99;2021-01-09
23;6;55;2021-01-10
23;6;47;2021-01-12
24;6;58;2021-01-06
24;5;1;2021-01-08
24;6;42;2021-01-09
24;6;41;2021-01-10
24;6;6;2021-01-12
25;6;80;2021-01-06
25;6;33;2021-01-08
25;6;77;2021-01-09
25;6;87;2021-01-10
25;5;4;2021-01-12
26;5;67;2021-01-06
26;5;87;2021-01-08
26;5;4;2021-01-09
26;5;29;2021-01-10
26;6;41;2021-01-12
27;5;44;2021-01-06
27;6;23;2021-01-08
27;5;63;2021-01-09
27;5;68;2021-01-10
27;6;83;2021-01-12
28;6;30;2021-01-06
28;5;47;2021-01-08
28;6;52;2021-01-09
28;5;30;2021-01-10
28;6;59;2021-01-12
29;6;89;2021-01-06
29;5;70;2021-01-08
29;6;35;2021-01-09
29;5;87;2021-01-10
29;5;41;2021-01-12
30;5;1;2021-01-06
30;6;38;2021-01-08
30;5;20;2021-01-09
30;6;25;2021-01-10
30;5;31;2021-01-12
31;6;100;2021-01-06
31;6;57;2021-01-08
31;5;57;2021-01-09
31;6;76;2021-01-10
31;6;27;2021-01-12
32;5;38;2021-01-06
32;5;49;2021-01-08
32;6;25;2021-01-09
32;6;14;2021-01-10
32;6;96;2021-01-12
33;6;23;2021-01-06
33;5;32;2021-01-08
33;5;35;2021-01-09
33;6;5;2021-01-10
33;6;94;2021-01-12
34;5;96;2021-01-06
34;6;90;2021-01-08
34;6;32;2021-01-09
34;5;42;2021-01-10
34;6;13;2021-01-12
35;5;68;2021-01-06
35;6;74;2021-01-08
35;5;36;2021-01-09
35;6;27;2021-01-10
